,User ID,Skill,Training,Background,Melodies,Error rate
41,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Expert,Untrained,No-Music,melodies-4,0.0
42,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Expert,Untrained,Music,melodies-7,0.0
43,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Expert,Untrained,Music,melodies-4,0.0
44,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Expert,Trained,No-Music,melodies-7,7.142857142857142
45,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Expert,Trained,No-Music,melodies-4,0.0
46,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Expert,Trained,Music,melodies-7,0.0
47,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Expert,Trained,Music,melodies-4,0.0
48,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Novice,Untrained,No-Music,melodies-7,42.857142857142854
49,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Novice,Untrained,No-Music,melodies-4,12.5
50,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Novice,Untrained,Music,melodies-7,57.14285714285714
51,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Novice,Untrained,Music,melodies-4,25.0
52,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Novice,Trained,No-Music,melodies-7,50.0
53,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Novice,Trained,No-Music,melodies-4,0.0
54,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Novice,Trained,Music,melodies-7,57.14285714285714
55,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Novice,Trained,Music,melodies-4,37.5
56,Jb1TNhPukqh2nEWGQvpAF4R5uQt2,Novice,Untrained,No-Music,melodies-7,64.28571428571429
57,Jb1TNhPukqh2nEWGQvpAF4R5uQt2,Novice,Untrained,No-Music,melodies-4,62.5
58,Jb1TNhPukqh2nEWGQvpAF4R5uQt2,Novice,Untrained,Music,melodies-7,50.0
59,Jb1TNhPukqh2nEWGQvpAF4R5uQt2,Novice,Untrained,Music,melodies-4,25.0
60,Jb1TNhPukqh2nEWGQvpAF4R5uQt2,Novice,Trained,No-Music,melodies-7,64.28571428571429
61,Jb1TNhPukqh2nEWGQvpAF4R5uQt2,Novice,Trained,No-Music,melodies-4,50.0
62,Jb1TNhPukqh2nEWGQvpAF4R5uQt2,Novice,Trained,Music,melodies-7,53.84615384615385
63,Jb1TNhPukqh2nEWGQvpAF4R5uQt2,Novice,Trained,Music,melodies-4,42.857142857142854
64,AzKqvJ3VNkYN9LgIoPiu8fehW6u2,Intermediate,Untrained,No-Music,melodies-7,57.14285714285714
65,AzKqvJ3VNkYN9LgIoPiu8fehW6u2,Intermediate,Untrained,No-Music,melodies-4,50.0
66,AzKqvJ3VNkYN9LgIoPiu8fehW6u2,Intermediate,Untrained,Music,melodies-7,7.142857142857142
67,AzKqvJ3VNkYN9LgIoPiu8fehW6u2,Intermediate,Untrained,Music,melodies-4,12.5
68,AzKqvJ3VNkYN9LgIoPiu8fehW6u2,Intermediate,Trained,No-Music,melodies-7,21.428571428571427
69,AzKqvJ3VNkYN9LgIoPiu8fehW6u2,Intermediate,Trained,No-Music,melodies-4,12.5
70,AzKqvJ3VNkYN9LgIoPiu8fehW6u2,Intermediate,Trained,Music,melodies-7,50.0
71,AzKqvJ3VNkYN9LgIoPiu8fehW6u2,Intermediate,Trained,Music,melodies-4,37.5
72,ICcwW9AMMqRnyMVdYdPQ0XCk1YY2,Novice,Untrained,No-Music,melodies-7,64.28571428571429
73,ICcwW9AMMqRnyMVdYdPQ0XCk1YY2,Novice,Untrained,No-Music,melodies-4,50.0
74,ICcwW9AMMqRnyMVdYdPQ0XCk1YY2,Novice,Untrained,Music,melodies-7,84.61538461538461
75,ICcwW9AMMqRnyMVdYdPQ0XCk1YY2,Novice,Untrained,Music,melodies-4,62.5
76,ICcwW9AMMqRnyMVdYdPQ0XCk1YY2,Novice,Trained,No-Music,melodies-7,85.71428571428571
77,ICcwW9AMMqRnyMVdYdPQ0XCk1YY2,Novice,Trained,No-Music,melodies-4,75.0
78,ICcwW9AMMqRnyMVdYdPQ0XCk1YY2,Novice,Trained,Music,melodies-7,35.714285714285715
79,ICcwW9AMMqRnyMVdYdPQ0XCk1YY2,Novice,Trained,Music,melodies-4,37.5
80,tXVIQHITYldhMqhRtVFNjfTRm333,Intermediate,Untrained,No-Music,melodies-7,30.76923076923077
81,tXVIQHITYldhMqhRtVFNjfTRm333,Intermediate,Untrained,No-Music,melodies-4,0.0
82,tXVIQHITYldhMqhRtVFNjfTRm333,Intermediate,Untrained,Music,melodies-7,57.14285714285714
83,tXVIQHITYldhMqhRtVFNjfTRm333,Intermediate,Untrained,Music,melodies-4,25.0
84,tXVIQHITYldhMqhRtVFNjfTRm333,Intermediate,Trained,No-Music,melodies-7,35.714285714285715
85,tXVIQHITYldhMqhRtVFNjfTRm333,Intermediate,Trained,No-Music,melodies-4,50.0
86,tXVIQHITYldhMqhRtVFNjfTRm333,Intermediate,Trained,Music,melodies-7,14.285714285714285
87,tXVIQHITYldhMqhRtVFNjfTRm333,Intermediate,Trained,Music,melodies-4,12.5
88,zbCoKgaBbNbDxw5BKsiA1NCxAaL2,Novice,Untrained,No-Music,melodies-7,50.0
89,zbCoKgaBbNbDxw5BKsiA1NCxAaL2,Novice,Untrained,No-Music,melodies-4,37.5
90,zbCoKgaBbNbDxw5BKsiA1NCxAaL2,Novice,Untrained,Music,melodies-7,92.3076923076923
91,zbCoKgaBbNbDxw5BKsiA1NCxAaL2,Novice,Untrained,Music,melodies-4,85.71428571428571
92,zbCoKgaBbNbDxw5BKsiA1NCxAaL2,Novice,Trained,No-Music,melodies-7,14.285714285714285
93,zbCoKgaBbNbDxw5BKsiA1NCxAaL2,Novice,Trained,No-Music,melodies-4,0.0
94,zbCoKgaBbNbDxw5BKsiA1NCxAaL2,Novice,Trained,Music,melodies-7,21.428571428571427
95,zbCoKgaBbNbDxw5BKsiA1NCxAaL2,Novice,Trained,Music,melodies-4,12.5
96,zNuGxejsczPIjpf2emxu6MomGm82,Intermediate,Untrained,No-Music,melodies-7,14.285714285714285
97,zNuGxejsczPIjpf2emxu6MomGm82,Intermediate,Untrained,No-Music,melodies-4,12.5
98,zNuGxejsczPIjpf2emxu6MomGm82,Intermediate,Untrained,Music,melodies-7,61.53846153846154
99,zNuGxejsczPIjpf2emxu6MomGm82,Intermediate,Untrained,Music,melodies-4,71.42857142857143
100,zNuGxejsczPIjpf2emxu6MomGm82,Intermediate,Trained,No-Music,melodies-7,0.0
101,zNuGxejsczPIjpf2emxu6MomGm82,Intermediate,Trained,No-Music,melodies-4,0.0
102,zNuGxejsczPIjpf2emxu6MomGm82,Intermediate,Trained,Music,melodies-7,0.0
103,zNuGxejsczPIjpf2emxu6MomGm82,Intermediate,Trained,Music,melodies-4,0.0
104,Z31kMWcmwlZPIBzuenXuPOjxaet2,Novice,Untrained,No-Music,melodies-7,71.42857142857143
105,Z31kMWcmwlZPIBzuenXuPOjxaet2,Novice,Untrained,No-Music,melodies-4,62.5
106,Z31kMWcmwlZPIBzuenXuPOjxaet2,Novice,Untrained,Music,melodies-7,69.23076923076923
107,Z31kMWcmwlZPIBzuenXuPOjxaet2,Novice,Untrained,Music,melodies-4,42.857142857142854
108,Z31kMWcmwlZPIBzuenXuPOjxaet2,Novice,Trained,No-Music,melodies-7,28.57142857142857
109,Z31kMWcmwlZPIBzuenXuPOjxaet2,Novice,Trained,No-Music,melodies-4,25.0
110,Z31kMWcmwlZPIBzuenXuPOjxaet2,Novice,Trained,Music,melodies-7,28.57142857142857
111,Z31kMWcmwlZPIBzuenXuPOjxaet2,Novice,Trained,Music,melodies-4,25.0
112,Euyc6QBkmbPLaF9bpk2JwVVgGB43,Expert,Untrained,No-Music,melodies-7,21.428571428571427
113,Euyc6QBkmbPLaF9bpk2JwVVgGB43,Expert,Untrained,No-Music,melodies-4,25.0
114,Euyc6QBkmbPLaF9bpk2JwVVgGB43,Expert,Untrained,Music,melodies-7,7.6923076923076925
115,Euyc6QBkmbPLaF9bpk2JwVVgGB43,Expert,Untrained,Music,melodies-4,0.0
116,Euyc6QBkmbPLaF9bpk2JwVVgGB43,Expert,Trained,No-Music,melodies-7,7.142857142857142
117,Euyc6QBkmbPLaF9bpk2JwVVgGB43,Expert,Trained,No-Music,melodies-4,0.0
118,Euyc6QBkmbPLaF9bpk2JwVVgGB43,Expert,Trained,Music,melodies-7,7.142857142857142
119,Euyc6QBkmbPLaF9bpk2JwVVgGB43,Expert,Trained,Music,melodies-4,0.0
120,2J4nDRlVNcgNjIwp2I4uTCLJXNW2,Intermediate,Untrained,No-Music,melodies-7,28.57142857142857
121,2J4nDRlVNcgNjIwp2I4uTCLJXNW2,Intermediate,Untrained,No-Music,melodies-4,37.5
122,2J4nDRlVNcgNjIwp2I4uTCLJXNW2,Intermediate,Untrained,Music,melodies-7,23.076923076923077
123,2J4nDRlVNcgNjIwp2I4uTCLJXNW2,Intermediate,Untrained,Music,melodies-4,0.0
124,2J4nDRlVNcgNjIwp2I4uTCLJXNW2,Intermediate,Trained,No-Music,melodies-7,28.57142857142857
125,2J4nDRlVNcgNjIwp2I4uTCLJXNW2,Intermediate,Trained,No-Music,melodies-4,12.5
126,2J4nDRlVNcgNjIwp2I4uTCLJXNW2,Intermediate,Trained,Music,melodies-7,28.57142857142857
127,2J4nDRlVNcgNjIwp2I4uTCLJXNW2,Intermediate,Trained,Music,melodies-4,25.0
128,wZ6tGHxzM8hz5kkiAtfI7acaBe12,Expert,Untrained,No-Music,melodies-7,21.428571428571427
129,wZ6tGHxzM8hz5kkiAtfI7acaBe12,Expert,Untrained,No-Music,melodies-4,12.5
130,wZ6tGHxzM8hz5kkiAtfI7acaBe12,Expert,Untrained,Music,melodies-7,7.142857142857142
131,wZ6tGHxzM8hz5kkiAtfI7acaBe12,Expert,Untrained,Music,melodies-4,0.0
132,wZ6tGHxzM8hz5kkiAtfI7acaBe12,Expert,Trained,No-Music,melodies-7,0.0
133,wZ6tGHxzM8hz5kkiAtfI7acaBe12,Expert,Trained,No-Music,melodies-4,0.0
134,wZ6tGHxzM8hz5kkiAtfI7acaBe12,Expert,Trained,Music,melodies-7,7.142857142857142
135,wZ6tGHxzM8hz5kkiAtfI7acaBe12,Expert,Trained,Music,melodies-4,0.0
136,afuxcE0uc6NrDO8XASgRVK4zPBZ2,Intermediate,Untrained,No-Music,melodies-7,7.142857142857142
137,afuxcE0uc6NrDO8XASgRVK4zPBZ2,Intermediate,Untrained,No-Music,melodies-4,12.5
138,afuxcE0uc6NrDO8XASgRVK4zPBZ2,Intermediate,Untrained,Music,melodies-7,46.15384615384615
139,afuxcE0uc6NrDO8XASgRVK4zPBZ2,Intermediate,Untrained,Music,melodies-4,71.42857142857143
140,afuxcE0uc6NrDO8XASgRVK4zPBZ2,Intermediate,Trained,No-Music,melodies-7,7.142857142857142
141,afuxcE0uc6NrDO8XASgRVK4zPBZ2,Intermediate,Trained,No-Music,melodies-4,0.0
142,afuxcE0uc6NrDO8XASgRVK4zPBZ2,Intermediate,Trained,Music,melodies-7,14.285714285714285
143,afuxcE0uc6NrDO8XASgRVK4zPBZ2,Intermediate,Trained,Music,melodies-4,0.0
144,NXZSUcmsVQWmtQhsDAc8nA9qZZs1,Novice,Untrained,No-Music,melodies-7,28.57142857142857
145,NXZSUcmsVQWmtQhsDAc8nA9qZZs1,Novice,Untrained,No-Music,melodies-4,25.0
146,NXZSUcmsVQWmtQhsDAc8nA9qZZs1,Novice,Untrained,Music,melodies-7,64.28571428571429
147,NXZSUcmsVQWmtQhsDAc8nA9qZZs1,Novice,Untrained,Music,melodies-4,25.0
148,NXZSUcmsVQWmtQhsDAc8nA9qZZs1,Novice,Trained,No-Music,melodies-7,78.57142857142857
149,NXZSUcmsVQWmtQhsDAc8nA9qZZs1,Novice,Trained,No-Music,melodies-4,62.5
150,NXZSUcmsVQWmtQhsDAc8nA9qZZs1,Novice,Trained,Music,melodies-7,84.61538461538461
151,NXZSUcmsVQWmtQhsDAc8nA9qZZs1,Novice,Trained,Music,melodies-4,85.71428571428571
152,mNy8hOQrzjaIYD6r1OPQJQBafA32,Novice,Untrained,No-Music,melodies-7,35.714285714285715
153,mNy8hOQrzjaIYD6r1OPQJQBafA32,Novice,Untrained,No-Music,melodies-4,12.5
154,mNy8hOQrzjaIYD6r1OPQJQBafA32,Novice,Untrained,Music,melodies-7,78.57142857142857
155,mNy8hOQrzjaIYD6r1OPQJQBafA32,Novice,Untrained,Music,melodies-4,87.5
156,mNy8hOQrzjaIYD6r1OPQJQBafA32,Novice,Trained,No-Music,melodies-7,14.285714285714285
157,mNy8hOQrzjaIYD6r1OPQJQBafA32,Novice,Trained,No-Music,melodies-4,12.5
158,mNy8hOQrzjaIYD6r1OPQJQBafA32,Novice,Trained,Music,melodies-7,21.428571428571427
159,mNy8hOQrzjaIYD6r1OPQJQBafA32,Novice,Trained,Music,melodies-4,12.5
160,RIneOAfWA6POfHcHOoYEDG1BF6T2,Expert,Untrained,No-Music,melodies-7,7.6923076923076925
161,RIneOAfWA6POfHcHOoYEDG1BF6T2,Expert,Untrained,No-Music,melodies-4,0.0
162,RIneOAfWA6POfHcHOoYEDG1BF6T2,Expert,Untrained,Music,melodies-7,28.57142857142857
163,RIneOAfWA6POfHcHOoYEDG1BF6T2,Expert,Untrained,Music,melodies-4,12.5
164,RIneOAfWA6POfHcHOoYEDG1BF6T2,Expert,Trained,No-Music,melodies-7,0.0
165,RIneOAfWA6POfHcHOoYEDG1BF6T2,Expert,Trained,No-Music,melodies-4,0.0
166,RIneOAfWA6POfHcHOoYEDG1BF6T2,Expert,Trained,Music,melodies-7,7.142857142857142
167,RIneOAfWA6POfHcHOoYEDG1BF6T2,Expert,Trained,Music,melodies-4,0.0
