,User ID,Technique,Skill,Background,Training,Granularity,Error rate
25,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,No-Music,Untrained,Error rate 7,35.714285714285715
26,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,No-Music,Untrained,Error rate 3,33.33333333333333
27,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,Music,Untrained,Error rate 12,0.0
28,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,Music,Untrained,Error rate 7,0.0
29,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,Music,Untrained,Error rate 3,0.0
30,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,No-Music,Trained,Error rate 12,0.0
31,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,No-Music,Trained,Error rate 7,0.0
32,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,No-Music,Trained,Error rate 3,0.0
33,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,Music,Trained,Error rate 12,0.0
34,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,Music,Trained,Error rate 7,0.0
35,4g4XbueBXPakEKcHYSqqot76sGg1,Melody,Expert,Music,Trained,Error rate 3,0.0
36,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,No-Music,Untrained,Error rate 12,21.428571428571427
37,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,No-Music,Untrained,Error rate 7,21.428571428571427
38,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,No-Music,Untrained,Error rate 3,16.666666666666664
39,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,Music,Untrained,Error rate 12,25.0
40,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,Music,Untrained,Error rate 7,16.666666666666664
41,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,Music,Untrained,Error rate 3,16.666666666666664
42,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,No-Music,Trained,Error rate 12,0.0
43,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,No-Music,Trained,Error rate 7,0.0
44,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,No-Music,Trained,Error rate 3,0.0
45,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,Music,Trained,Error rate 12,0.0
46,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,Music,Trained,Error rate 7,0.0
47,ND7YXptQpfcoYks37w3hh28VzIJ2,Pitch,Expert,Music,Trained,Error rate 3,0.0
48,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,No-Music,Untrained,Error rate 12,0.0
49,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,No-Music,Untrained,Error rate 7,0.0
50,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,No-Music,Untrained,Error rate 3,0.0
51,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,Music,Untrained,Error rate 12,0.0
52,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,Music,Untrained,Error rate 7,0.0
53,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,Music,Untrained,Error rate 3,0.0
54,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,No-Music,Trained,Error rate 12,0.0
55,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,No-Music,Trained,Error rate 7,0.0
56,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,No-Music,Trained,Error rate 3,0.0
57,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,Music,Trained,Error rate 12,7.142857142857142
58,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,Music,Trained,Error rate 7,0.0
59,ND7YXptQpfcoYks37w3hh28VzIJ2,Interval,Expert,Music,Trained,Error rate 3,0.0
60,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,No-Music,Untrained,Error rate 12,0.0
61,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,No-Music,Untrained,Error rate 7,0.0
62,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,No-Music,Untrained,Error rate 3,0.0
63,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,Music,Untrained,Error rate 12,0.0
64,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,Music,Untrained,Error rate 7,0.0
65,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,Music,Untrained,Error rate 3,0.0
66,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,No-Music,Trained,Error rate 12,0.0
67,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,No-Music,Trained,Error rate 7,0.0
68,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,No-Music,Trained,Error rate 3,0.0
69,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,Music,Trained,Error rate 12,0.0
70,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,Music,Trained,Error rate 7,0.0
71,ND7YXptQpfcoYks37w3hh28VzIJ2,Melody,Expert,Music,Trained,Error rate 3,0.0
72,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,No-Music,Untrained,Error rate 12,7.142857142857142
73,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,No-Music,Untrained,Error rate 7,7.142857142857142
74,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,No-Music,Untrained,Error rate 3,0.0
75,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,Music,Untrained,Error rate 12,15.384615384615385
76,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,Music,Untrained,Error rate 7,15.384615384615385
77,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,Music,Untrained,Error rate 3,16.666666666666664
78,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,No-Music,Trained,Error rate 12,0.0
79,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,No-Music,Trained,Error rate 7,0.0
80,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,No-Music,Trained,Error rate 3,0.0
81,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,Music,Trained,Error rate 12,0.0
82,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,Music,Trained,Error rate 7,0.0
83,4skkbqCgsCUeDAYAwThCrw5UMRG2,Pitch,Expert,Music,Trained,Error rate 3,0.0
84,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,No-Music,Untrained,Error rate 12,15.384615384615385
85,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,No-Music,Untrained,Error rate 7,15.384615384615385
86,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,No-Music,Untrained,Error rate 3,0.0
87,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,Music,Untrained,Error rate 12,7.142857142857142
88,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,Music,Untrained,Error rate 7,7.142857142857142
89,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,Music,Untrained,Error rate 3,0.0
90,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,No-Music,Trained,Error rate 12,0.0
91,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,No-Music,Trained,Error rate 7,0.0
92,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,No-Music,Trained,Error rate 3,0.0
93,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,Music,Trained,Error rate 12,0.0
94,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,Music,Trained,Error rate 7,0.0
95,4skkbqCgsCUeDAYAwThCrw5UMRG2,Interval,Expert,Music,Trained,Error rate 3,0.0
96,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,No-Music,Untrained,Error rate 12,8.333333333333332
97,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,No-Music,Untrained,Error rate 7,8.333333333333332
98,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,No-Music,Untrained,Error rate 3,0.0
99,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,Music,Untrained,Error rate 12,21.428571428571427
100,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,Music,Untrained,Error rate 7,28.57142857142857
101,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,Music,Untrained,Error rate 3,0.0
102,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,No-Music,Trained,Error rate 12,14.285714285714285
103,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,No-Music,Trained,Error rate 7,14.285714285714285
104,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,No-Music,Trained,Error rate 3,16.666666666666664
105,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,Music,Trained,Error rate 12,14.285714285714285
106,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,Music,Trained,Error rate 7,14.285714285714285
107,4skkbqCgsCUeDAYAwThCrw5UMRG2,Melody,Expert,Music,Trained,Error rate 3,0.0
108,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,No-Music,Untrained,Error rate 12,57.14285714285714
109,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,No-Music,Untrained,Error rate 7,42.857142857142854
110,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,No-Music,Untrained,Error rate 3,33.33333333333333
111,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,Music,Untrained,Error rate 12,78.57142857142857
112,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,Music,Untrained,Error rate 7,64.28571428571429
113,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,Music,Untrained,Error rate 3,50.0
114,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,No-Music,Trained,Error rate 12,28.57142857142857
115,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,No-Music,Trained,Error rate 7,21.428571428571427
116,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,No-Music,Trained,Error rate 3,33.33333333333333
117,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,Music,Trained,Error rate 12,7.142857142857142
118,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,Music,Trained,Error rate 7,7.142857142857142
119,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Pitch,Intermediate,Music,Trained,Error rate 3,0.0
120,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,No-Music,Untrained,Error rate 12,23.076923076923077
121,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,No-Music,Untrained,Error rate 7,7.6923076923076925
122,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,No-Music,Untrained,Error rate 3,0.0
123,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,Music,Untrained,Error rate 12,28.57142857142857
124,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,Music,Untrained,Error rate 7,21.428571428571427
125,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,Music,Untrained,Error rate 3,0.0
126,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,No-Music,Trained,Error rate 12,7.142857142857142
127,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,No-Music,Trained,Error rate 7,0.0
128,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,No-Music,Trained,Error rate 3,0.0
129,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,Music,Trained,Error rate 12,14.285714285714285
130,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,Music,Trained,Error rate 7,7.142857142857142
131,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Interval,Intermediate,Music,Trained,Error rate 3,0.0
132,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,No-Music,Untrained,Error rate 12,0.0
133,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,No-Music,Untrained,Error rate 7,0.0
134,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,No-Music,Untrained,Error rate 3,0.0
135,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,Music,Untrained,Error rate 12,28.57142857142857
136,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,Music,Untrained,Error rate 7,21.428571428571427
137,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,Music,Untrained,Error rate 3,16.666666666666664
138,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,No-Music,Trained,Error rate 12,21.428571428571427
139,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,No-Music,Trained,Error rate 7,21.428571428571427
140,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,No-Music,Trained,Error rate 3,16.666666666666664
141,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,Music,Trained,Error rate 12,7.142857142857142
142,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,Music,Trained,Error rate 7,0.0
143,eDAQuX1FHxaGiWXOPiR3IVG3sZK2,Melody,Intermediate,Music,Trained,Error rate 3,0.0
144,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,No-Music,Untrained,Error rate 12,0.0
145,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,No-Music,Untrained,Error rate 7,0.0
146,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,No-Music,Untrained,Error rate 3,0.0
147,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,Music,Untrained,Error rate 12,0.0
148,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,Music,Untrained,Error rate 7,0.0
149,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,Music,Untrained,Error rate 3,0.0
150,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,No-Music,Trained,Error rate 12,0.0
151,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,No-Music,Trained,Error rate 7,0.0
152,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,No-Music,Trained,Error rate 3,0.0
153,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,Music,Trained,Error rate 12,0.0
154,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,Music,Trained,Error rate 7,0.0
155,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Pitch,Expert,Music,Trained,Error rate 3,0.0
156,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,No-Music,Untrained,Error rate 12,0.0
157,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,No-Music,Untrained,Error rate 7,0.0
158,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,No-Music,Untrained,Error rate 3,0.0
159,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,Music,Untrained,Error rate 12,0.0
160,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,Music,Untrained,Error rate 7,0.0
161,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,Music,Untrained,Error rate 3,0.0
162,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,No-Music,Trained,Error rate 12,8.333333333333332
163,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,No-Music,Trained,Error rate 7,8.333333333333332
164,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,No-Music,Trained,Error rate 3,0.0
165,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,Music,Trained,Error rate 12,0.0
166,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,Music,Trained,Error rate 7,0.0
167,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Interval,Expert,Music,Trained,Error rate 3,0.0
168,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,No-Music,Untrained,Error rate 12,0.0
169,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,No-Music,Untrained,Error rate 7,0.0
170,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,No-Music,Untrained,Error rate 3,0.0
171,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,Music,Untrained,Error rate 12,0.0
172,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,Music,Untrained,Error rate 7,0.0
173,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,Music,Untrained,Error rate 3,0.0
174,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,No-Music,Trained,Error rate 12,7.142857142857142
175,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,No-Music,Trained,Error rate 7,7.142857142857142
176,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,No-Music,Trained,Error rate 3,0.0
177,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,Music,Trained,Error rate 12,0.0
178,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,Music,Trained,Error rate 7,0.0
179,ttJ0IFZj6ofNkXKH9LRAjBxI3M53,Melody,Expert,Music,Trained,Error rate 3,0.0
180,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,No-Music,Untrained,Error rate 12,7.6923076923076925
181,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,No-Music,Untrained,Error rate 7,0.0
182,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,No-Music,Untrained,Error rate 3,0.0
183,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,Music,Untrained,Error rate 12,0.0
184,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,Music,Untrained,Error rate 7,0.0
185,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,Music,Untrained,Error rate 3,0.0
186,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,No-Music,Trained,Error rate 12,0.0
187,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,No-Music,Trained,Error rate 7,0.0
188,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,No-Music,Trained,Error rate 3,0.0
189,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,Music,Trained,Error rate 12,0.0
190,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,Music,Trained,Error rate 7,0.0
191,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Pitch,Expert,Music,Trained,Error rate 3,0.0
192,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Interval,Expert,No-Music,Untrained,Error rate 12,0.0
193,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Interval,Expert,No-Music,Untrained,Error rate 7,0.0
194,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Interval,Expert,No-Music,Untrained,Error rate 3,0.0
195,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Interval,Expert,Music,Untrained,Error rate 12,0.0
196,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Interval,Expert,Music,Untrained,Error rate 7,0.0
197,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Interval,Expert,Music,Untrained,Error rate 3,0.0
198,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Interval,Expert,No-Music,Trained,Error rate 12,0.0
199,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Interval,Expert,No-Music,Trained,Error rate 7,0.0
200,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Interval,Expert,No-Music,Trained,Error rate 3,0.0
201,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Interval,Expert,Music,Trained,Error rate 12,0.0
202,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Interval,Expert,Music,Trained,Error rate 7,0.0
203,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Interval,Expert,Music,Trained,Error rate 3,0.0
204,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Melody,Expert,No-Music,Untrained,Error rate 12,0.0
205,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Melody,Expert,No-Music,Untrained,Error rate 7,0.0
206,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Melody,Expert,No-Music,Untrained,Error rate 3,0.0
207,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Melody,Expert,Music,Untrained,Error rate 12,0.0
208,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Melody,Expert,Music,Untrained,Error rate 7,0.0
209,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Melody,Expert,Music,Untrained,Error rate 3,0.0
210,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Melody,Expert,No-Music,Trained,Error rate 12,7.142857142857142
211,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Melody,Expert,No-Music,Trained,Error rate 7,7.142857142857142
212,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Melody,Expert,No-Music,Trained,Error rate 3,0.0
213,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Melody,Expert,Music,Trained,Error rate 12,0.0
214,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Melody,Expert,Music,Trained,Error rate 7,0.0
215,iBaEkIBcrjVxmQYt2ynpOaMNNJi2,Melody,Expert,Music,Trained,Error rate 3,0.0
216,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Pitch,Novice,No-Music,Untrained,Error rate 12,71.42857142857143
217,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Pitch,Novice,No-Music,Untrained,Error rate 7,71.42857142857143
218,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Pitch,Novice,No-Music,Untrained,Error rate 3,50.0
219,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Pitch,Novice,Music,Untrained,Error rate 12,92.3076923076923
220,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Pitch,Novice,Music,Untrained,Error rate 7,92.3076923076923
221,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Pitch,Novice,Music,Untrained,Error rate 3,66.66666666666666
222,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Pitch,Novice,No-Music,Trained,Error rate 12,64.28571428571429
223,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Pitch,Novice,No-Music,Trained,Error rate 7,57.14285714285714
224,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Pitch,Novice,No-Music,Trained,Error rate 3,16.666666666666664
225,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Pitch,Novice,Music,Trained,Error rate 12,50.0
226,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Pitch,Novice,Music,Trained,Error rate 7,42.857142857142854
227,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Pitch,Novice,Music,Trained,Error rate 3,0.0
228,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Interval,Novice,No-Music,Untrained,Error rate 12,100.0
229,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Interval,Novice,No-Music,Untrained,Error rate 7,100.0
230,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Interval,Novice,No-Music,Untrained,Error rate 3,100.0
231,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Interval,Novice,Music,Untrained,Error rate 12,100.0
232,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Interval,Novice,Music,Untrained,Error rate 7,100.0
233,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Interval,Novice,Music,Untrained,Error rate 3,100.0
234,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Interval,Novice,No-Music,Trained,Error rate 12,85.71428571428571
235,CwOYmTC4P7QRzjbBXgVwRf11ccL2,Interval,Novice,No-Music,Trained,Error rate 7,71.42857142857143
